seg_id	poem_id	text	sub_title	title	poetry_book	poet	annotator_01	annotator_02	annotator_03	annotator_04	annotator_05
11	10	내를 건너서 숲으로  고개를 넘어서 마을로  어제도 가고 오늘도 갈  나의 길 새로운 길  민들레가 피고 까치가 날고 아가씨가 지나고 바람이 일고  나의 길은 언제나 새로운 길  오늘도... 내일도 ...  내를 건너서 숲으로  고개를 넘어서 마을로		새로운 길	하늘과 바람과 별과 시	윤동주	기대감, 즐거움/신남, 신기함/관심, 행복, 편안/쾌적	뿌듯함, 기대감, 기쁨, 아껴주는, 불안/걱정, 힘듦/지침, 당황/난처	기대감, 깨달음, 즐거움/신남, 편안/쾌적	기대감, 슬픔, 힘듦/지침, 편안/쾌적	기대감, 비장함, 신기함/관심, 편안/쾌적, 흐뭇함(귀여움/예쁨)
12	11	봄날 아침도 아니고 여름, 가을, 겨울, 그런 날 아침도 아닌 아침에 빠알간 꽃이 피어났네, 햇빛이 프른데, 그 전날 밤에 그 전날 밤에 모든것이 마련되었네, 사랑은 뱀과 함께 독(毒)은 어린꽃과 함께.		태초의 아침	하늘과 바람과 별과 시	윤동주	불안/걱정, 고마움, 깨달음, 신기함/관심	신기함/관심, 깨달음, 감동/감탄, 놀람, 비장함	깨달음, 의심/불신, 신기함/관심, 불안/걱정, 슬픔	불안/걱정, 공포/무서움, 당황/난처	신기함/관심, 깨달음, 불안/걱정, 놀람
13	12	하얗게 눈이 덮이었고 전신주(電信柱)가 잉잉 울어 하나님 말씀이 들려온다. 무슨 계시(啓示)일까. 빨리 봄이 오면 죄(罪)를 짓고 눈이 밝아 이브가 해산(解産)하는 수고를 다하면 무화과(無花果) 잎사귀로 부끄런 데를 가리고 나는 이마에 땀을 흘려야겠다.		또 태초의 아침	하늘과 바람과 별과 시	윤동주	죄책감, 부끄러움, 존경, 신기함/관심, 환영/호의, 비장함	감동/감탄, 놀람, 기대감, 불안/걱정, 서러움, 슬픔, 비장함	깨달음, 고마움, 불안/걱정, 서러움, 부끄러움	비장함, 신기함/관심, 안심/신뢰, 불안/걱정, 존경	깨달음, 기대감, 비장함
14	13	다들 죽어가는 사람들에게 검은 옷을 입히시오.  다들 살아가는 사람들에게 흰 옷을 입히시오.  그리고 한 침실(寢室)에 가지런히 잠을 재우시오  다들 울거들랑 젖을 먹이시오  이제 새벽이 오면 나팔소리 들려 올 게외다.		새벽이 올 때까지	하늘과 바람과 별과 시	윤동주	기대감, 아껴주는, 불쌍함/연민, 환영/호의	비장함, 깨달음, 기대감, 서러움, 아껴주는, 슬픔	깨달음, 편안/쾌적, 슬픔, 안타까움/실망, 고마움	불안/걱정, 슬픔, 비장함, 절망	슬픔, 불안/걱정, 불쌍함/연민, 기대감, 안심/신뢰, 안타까움/실망
15	14	거 나를 부르는 것이 누구요.  가랑잎 이파리 푸르러 나오는 그늘인데, 나 아직 여기 호흡이 남아 있소.  한 번도 손들어 보지 못한 나를 손들어 표할 하늘도 없는 나를  어디에 내 한 몸 둘 하늘이 있어 나를 부르는 것이오?  일이 마치고 내 죽는 날 아침에는 서럽지도 않은 가랑잎이 떨어질 텐데……  나를 부르지 마오.		무서운 시간	하늘과 바람과 별과 시	윤동주	공포/무서움, 불안/걱정, 의심/불신, 부담/안_내킴, 놀람, 안타까움/실망, 지긋지긋, 패배/자기혐오	놀람, 당황/난처, 서러움, 슬픔, 패배/자기혐오, 안타까움/실망, 절망, 귀찮음, 부담/안_내킴, 불평/불만	깨달음, 서러움, 힘듦/지침, 의심/불신, 슬픔	화남/분노, 증오/혐오, 슬픔, 힘듦/지침	의심/불신, 짜증, 힘듦/지침, 패배/자기혐오, 절망
16	15	흰 수건이 검은 머리를 두르고 흰 고무신이 거친 발에 걸리우다  흰 저고리 치마가 슬픈 몸집을 가리고 흰 띠가 가는 허리를 질끈 동이다		슬픈 족속	하늘과 바람과 별과 시	윤동주	불쌍함/연민, 슬픔, 아껴주는	힘듦/지침, 서러움, 슬픔, 불쌍함/연민, 아껴주는	슬픔, 안타까움/실망, 힘듦/지침, 서러움, 아껴주는	불쌍함/연민, 슬픔, 힘듦/지침	신기함/관심, 불쌍함/연민, 아껴주는
17	16	태양을 사모하는 아이들아 별을 사랑하는 아이들아  밤이 어두웠는데 눈감고 가거라.  가진 바 씨앗을 뿌리면서 가거라.  발부리에 돌이 체이거든 감았던 눈을 와짝 떠라.		눈감고 간다	하늘과 바람과 별과 시	윤동주	아껴주는, 불안/걱정, 흐뭇함(귀여움/예쁨), 기대감, 비장함	아껴주는, 불안/걱정, 기대감, 비장함, 서러움	기대감, 깨달음, 비장함, 편안/쾌적, 슬픔	아껴주는, 기대감, 불안/걱정	흐뭇함(귀여움/예쁨), 불안/걱정, 아껴주는, 신기함/관심
18	17	호젓한 세기(世紀)의 달을 딿아 알뜻 모를뜻 한데로 거닐과저!  아닌 밤중에 튀기듯이 잠자리를 뛰처 끝없는 광야(廣野)를 홀로 거니는 사람의 심사(心思)는 외로우러니  아─ 이 젊은이는 피라미트처럼 슬프구나		비애		윤동주	불쌍함/연민, 슬픔, 불안/걱정, 비장함, 서러움	기대감, 불안/걱정, 놀람, 불쌍함/연민, 서러움, 슬픔, 안타까움/실망, 비장함	서러움, 슬픔, 힘듦/지침, 의심/불신, 신기함/관심	비장함, 슬픔, 불안/걱정	슬픔, 서러움, 비장함, 불안/걱정
19	18	식권 하로 세끼(三餐)를준다,  식모 젊은아히들에게. 한때 힌그릇셋을준다,  대동강(大洞江) 물로끄린국, 평안도(平安道) 쌀로지은밥, 조선(朝鮮)의 매운고추장,  식권 우리배를 부르게.		식권		윤동주	아껴주는	아껴주는, 고마움, 기쁨, 슬픔, 환영/호의	고마움, 뿌듯함, 서러움, 불쌍함/연민	아껴주는, 비장함, 뿌듯함, 환영/호의	신기함/관심, 고마움, 흐뭇함(귀여움/예쁨), 환영/호의
20	19	늦은봄기다리든 토요일(土曜日)날. 오후(午後) 세시반의 경성(京城)행열차는, 석탄(石炭)연기를 자욱이 품기고, 소리치고 지나가고  한몸을 끟을기에 강(强)하든. 공(뽈)이 자력(磁力)을 잃고 한목음의 물이 불붓는 목을 축이기에 넉넉하다, 젊은 가슴의 피순환(循環)이 잣고, 두 철각(鐵脚)이 늘어진다,  검은 기차(汽車)연기(煙氣)와 함께. 풀은 산(山)이 아지랑 저쪽으로 까라안는다,		오후의 구장		윤동주	기대감, 즐거움/신남, 비장함	신기함/관심, 불안/걱정, 당황/난처, 뿌듯함, 기대감, 안타까움/실망	힘듦/지침, 비장함, 슬픔, 깨달음, 안타까움/실망	편안/쾌적, 불안/걱정, 힘듦/지침	신기함/관심, 힘듦/지침, 놀람, 서러움
21	20	청초(淸楚)한 코쓰모쓰는 오직 하나인 나의 아가씨,  달빛이 싸늘히 추운 밤이면 넷 소녀(少女)가 몯견디게 그리워 코쓰모쓰 핀 정원(庭園)으로 찾어간다.  코쓰모쓰는 귀또리 울음에도 수집어지고,  코쓰모쓰 앞에선 나는 어렷을적 처럼 부끄러워 지나니,  내마음은 코쓰모쓰의 마음이오. 코쓰모쓰의 마음은 내마음이다.		코스모스		윤동주	흐뭇함(귀여움/예쁨), 부끄러움, 기대감, 신기함/관심, 즐거움/신남, 기쁨	흐뭇함(귀여움/예쁨), 아껴주는, 서러움, 슬픔, 부끄러움, 깨달음, 감동/감탄	기쁨, 부끄러움, 슬픔, 아껴주는, 안타까움/실망	부끄러움, 감동/감탄, 아껴주는, 행복	부끄러움, 신기함/관심, 아껴주는, 흐뭇함(귀여움/예쁨)
22	21	함께핀 꽃에 처음익은 능금은 먼저 떨어젓슴니다.  오날도 가을바람은 그냥붐니다.  길가에 떨어진 불근 능금은 지나든 손님이 집어갓슴니다.		그 여자		윤동주	신기함/관심, 당황/난처, 안타까움/실망	서러움, 슬픔, 안타까움/실망, 신기함/관심, 부담/안_내킴	슬픔, 비장함, 안타까움/실망, 힘듦/지침	감동/감탄, 신기함/관심, 행복, 편안/쾌적	깨달음, 신기함/관심, 불쌍함/연민, 당황/난처
23	22	헌집신짝 끟을고 나여긔 웨왓노 두만강을 건너서 쓸쓸한 이 땅에  남쪽하늘 저밑엔 따뜻한 내고향 내어머니 게신곧 그리운 고향집.		고향집		윤동주	죄책감, 아껴주는, 슬픔, 불안/걱정	힘듦/지침, 패배/자기혐오, 서러움, 슬픔, 불평/불만, 안타까움/실망, 한심함, 절망, 지긋지긋, 아껴주는	불쌍함/연민, 서러움, 슬픔, 안타까움/실망, 불안/걱정	슬픔, 힘듦/지침, 편안/쾌적, 서러움	힘듦/지침, 서러움, 슬픔, 안타까움/실망, 절망, 지긋지긋
24	23	「이 개 더럽잔니」 아─ 니 이웃집 덜렁 숳개가 오날 어슬렁 어슬렁 우리집으로 오더니 우리집 바두기의 미구멍에다 코를대고 씩々 내를 맛겟지 더러운줄도 모르고, 보기 숭해서 막차며 욕해 쫓앗더니 꼬리를 휘휘 저으며 너희들보다 어떻겟냐하는 상으로 뛰여가겟지요 나─ 참.		개		윤동주	증오/혐오, 짜증, 화남/분노, 어이없음, 놀람, 당황/난처, 불평/불만	증오/혐오, 짜증, 화남/분노, 어이없음, 놀람, 당황/난처, 불평/불만, 역겨움/징그러움, 깨달음, 서러움	우쭐댐/무시함, 증오/혐오, 신기함/관심, 짜증, 지긋지긋	불평/불만, 증오/혐오, 한심함, 짜증, 불안/걱정	불평/불만, 불쌍함/연민, 짜증, 한심함
25	24	나무가 춤을 추면 바람이 불고, 나무가 잠잠하면 바람도 자오,		나무		윤동주	감동/감탄, 흐뭇함(귀여움/예쁨), 신기함/관심, 안심/신뢰	깨달음, 놀람, 신기함/관심	깨달음, 의심/불신, 신기함/관심, 기쁨	기쁨, 흐뭇함(귀여움/예쁨), 행복, 편안/쾌적	깨달음, 신기함/관심, 편안/쾌적, 흐뭇함(귀여움/예쁨)
26	25	왜떡이 씁은 데도 작고 달다고 하오.		할아버지		윤동주	불쌍함/연민	불평/불만, 당황/난처, 서러움, 슬픔, 어이없음, 안타까움/실망, 불쌍함/연민	어이없음, 의심/불신, 안타까움/실망	힘듦/지침, 슬픔, 서러움, 불안/걱정	의심/불신, 어이없음, 당황/난처
27	26	앙당한 솔나무가지에, 훈훈한 바람의 날개가 스치고 얼음 석긴 대동강(大洞江)물에, 한나절 햇발이 밋그러지다,  허무러진 성터(城터)에서 철모르는 여자(女兒)들이 저도 모를 이국(異國)말로, 재질대며 뜀을 뛰고.  난데없는 자동차(自動車)가 밉다.		모란봉에서		윤동주	불쌍함/연민, 불안/걱정, 신기함/관심, 놀람, 감동/감탄, 흐뭇함(귀여움/예쁨), 안타까움/실망	감동/감탄, 아껴주는, 지긋지긋, 짜증, 불쌍함/연민, 놀람, 서러움, 슬픔	슬픔, 안타까움/실망, 불안/걱정, 불평/불만, 불쌍함/연민	의심/불신, 증오/혐오, 힘듦/지침, 부담/안_내킴, 안타까움/실망	불평/불만, 역겨움/징그러움, 의심/불신, 부담/안_내킴
28	27	눈이 오다, 물이 되는 날. 재ㅅ빛 하늘에 또 뿌연 내, 그리고, 크다란 기관차(機關車)는 빼─액─ 울며, 쪽그만, 가슴은, 울렁거린다.  리별이 너무 재빠르다, 안탑갑게도, 사랑하는 사람을, 일터에서 만나자 하고─. 더운 손의 맛과, 구슬눈물이 마르기 전 기차는 꼬리를 산굽으로 돌렷다,		이별		윤동주	슬픔, 서러움, 안타까움/실망, 부담/안_내킴	불안/걱정, 공포/무서움, 서러움, 슬픔, 안타까움/실망, 기대감, 당황/난처	안타까움/실망, 슬픔, 부담/안_내킴, 불쌍함/연민, 불안/걱정	슬픔, 안타까움/실망	경악, 당황/난처, 서러움, 슬픔, 패배/자기혐오, 힘듦/지침
29	28	종달새는 일은봄날 즐드즌 거리의뒷골목이 슳더라. 명량한 봄하늘, 가벼운 두나래를펴서 요염한 봄노래가, 좋더라, 그러나, 오날도 구멍뚤린 구두를끌고, 훌렁훌렁 뒷거리길로, 고기색기같은나는 헤매나니, 나래와노래가 없음인가, 가슴이 답답하구나,		종달새		윤동주	감동/감탄, 슬픔, 서러움, 안타까움/실망, 불안/걱정, 패배/자기혐오, 기대감, 죄책감	서러움, 슬픔, 아껴주는, 편안/쾌적, 힘듦/지침, 안타까움/실망, 패배/자기혐오, 한심함, 지긋지긋, 불평/불만	힘듦/지침, 서러움, 슬픔, 불평/불만, 안타까움/실망, 패배/자기혐오	감동/감탄, 부담/안_내킴, 불안/걱정, 슬픔, 힘듦/지침	힘듦/지침, 지긋지긋, 패배/자기혐오, 한심함, 흐뭇함(귀여움/예쁨)
30	29	공상(空想)─ 내마음의 탑(塔) 나는 말없이 이탑(塔)을 쌓고있다 명예(名譽)와 허영(虛榮)의 천공(天空)에다 문허질줄도 몰으고 한층두층 높이 싸ㅅ는다  무한(無限)한 나의 공상(空想)─ 그것은 내마음의 바다 나는 두팔을 펄처서 나의 바다에서 자유(自由)로히 헤염친다 황금(黃金) 지욕(知慾)의 수평선(水平線)을 향(向)하여.		공상		윤동주	서러움, 공포/무서움, 슬픔, 비장함, 죄책감, 기대감, 환영/호의	비장함, 감동/감탄, 깨달음, 기쁨, 뿌듯함, 신기함/관심, 아껴주는	의심/불신, 역겨움/징그러움, 안타까움/실망, 증오/혐오, 힘듦/지침	감동/감탄, 편안/쾌적, 행복	재미없음, 비장함, 지긋지긋
31	30	래일래일 하기에 물엇더니. 밤을자고 동틀때 래일이라고.  새날을 찯은나는 잠을자고 돌보니. 그때는 내일이아니라. 오늘이더라,  무리여! 래일은 없나니 …………		내일은 없다		윤동주	기대감, 깨달음, 비장함	서러움, 슬픔, 당황/난처, 깨달음, 기대감, 안타까움/실망, 비장함, 아껴주는	부담/안_내킴, 불쌍함/연민, 불안/걱정, 불평/불만, 슬픔, 절망, 힘듦/지침	비장함, 슬픔, 안타까움/실망, 힘듦/지침	깨달음, 당황/난처
32	31	산들이 두 줄로 줄다를질 치고 여울이 소리처 목이 자젓다. 한여름의 햇님이 구름을 타고 이골작이를 빠르게도 건너련다.  산(山)등아리에 송아지 뿔처럼 울뚝불뚝히 어린 바위가 솟구, 얼룩소의 보드러운 털이 산(山)등서리에 퍼─렇게 자랏다.  삼년(三年)만에 고향(故鄕) 찾어드는 산꼴 나그네의 발거름이 타박타박 땅을 고눈다. 벌거숭이 두루미 다리같이...  헌 신짝이 집행이 끝에 목아지를 매달아 늘어지고, 까치가 색기의 날발을 태우려 날뿐, 골작은 나그네의 마음처럼 고요하다.		곡간		윤동주	기대감, 즐거움/신남, 흐뭇함(귀여움/예쁨), 편안/쾌적	놀람, 감동/감탄, 불쌍함/연민, 서러움, 슬픔, 힘듦/지침, 아껴주는	힘듦/지침, 불쌍함/연민, 서러움, 안타까움/실망	슬픔, 절망, 힘듦/지침	신기함/관심, 깨달음, 힘듦/지침, 불쌍함/연민
33	32	장미 병들어 옮겨 놓을 이웃이 없도다.  달랑달랑 외로히 황마차(幌馬車) 태워 산(山)에 보낼거나,  뚜— 구슬피 화륜선(火輪船) 태워 대양(大洋)에 보낼거나,  프로펠러 소리 요란히 비행기(飛行機) 태워 성층권(成層圈)에 보낼거나  이것 저것 다 구만두고  자라가는 아들이 꿈을 깨기 전 이내 가슴에 묻어다오.		장미 병들어		윤동주	슬픔, 서러움, 불쌍함/연민, 불안/걱정	불쌍함/연민, 서러움, 슬픔, 부담/안_내킴, 비장함, 아껴주는, 힘듦/지침	당황/난처, 부담/안_내킴, 슬픔, 안타까움/실망, 불안/걱정	슬픔, 힘듦/지침, 절망	힘듦/지침, 패배/자기혐오, 비장함, 불쌍함/연민
34	33	황혼(黃昏)이 짙어지는 길모퉁이에서 하루종일 시들은 귀를 가만히 기울이면 땅거미 옮겨지는 발자취 소리,  발자취 소리를 들을 수 있도록 나는 총명했든가요.  이제 어리석게도 모든 것을 깨달은 다음 오래 마음 깊은 속에 괴로워하던 수많은 나를 하나, 둘 제고장으로 돌려보내면  거리모퉁이 어둠 속으로 소리 없이 사라지는 흰 그림자,  흰 그림자들 연연히 사랑하던 흰 그림자들,  내 모든 것을 돌려 보낸 뒤 허전히 뒷골목을 돌아 황혼(黃昏)처럼 물드는 내 방으로 돌아오면  신념(信念)이 깊은 의젓한 양(羊)처럼 하루종일 시름없이 풀포기나 뜯자.		흰 그림자		윤동주	슬픔, 서러움, 부끄러움, 죄책감, 불쌍함/연민, 기대감, 아껴주는	불안/걱정, 패배/자기혐오, 서러움, 슬픔, 놀람, 아껴주는, 비장함, 깨달음, 죄책감, 부끄러움	슬픔, 서러움, 힘듦/지침, 깨달음, 부담/안_내킴	깨달음, 부끄러움, 불안/걱정, 아껴주는, 안타까움/실망	깨달음, 비장함, 패배/자기혐오, 힘듦/지침
