line_id	poem_id	text	sub_title	title	poet	annotator_01	annotator_02	annotator_03	annotator_04	annotator_05
19	3	쫓아오든 햇빛인데		십자가	윤동주	신기함/관심, 공포/무서움, 지긋지긋	신기함/관심, 공포/무서움, 지긋지긋, 불안/걱정, 부담/안_내킴	귀찮음, 당황/난처, 부담/안_내킴	안심/신뢰, 행복	놀람, 당황/난처
20	3	지금 교회당 꼭대기		십자가	윤동주	없음	없음, 기대감, 불안/걱정, 비장함	없음	비장함, 아껴주는, 신기함/관심, 존경	기대감
21	3	십자가에 걸리었습니다.		십자가	윤동주	안타까움/실망, 불안/걱정, 공포/무서움, 슬픔, 패배/자기혐오	안타까움/실망, 불안/걱정, 슬픔, 서러움, 불쌍함/연민, 절망	공포/무서움, 깨달음, 놀람, 부담/안_내킴	놀람, 불안/걱정, 안타까움/실망, 절망, 힘듦/지침	경악, 놀람, 당황/난처, 불쌍함/연민
22	3	첨탑(尖塔)이 저렇게도 높은데		십자가	윤동주	놀람, 경악, 당황/난처	놀람, 경악, 당황/난처, 불안/걱정, 신기함/관심	불쌍함/연민, 신기함/관심, 한심함	불안/걱정, 절망, 힘듦/지침	공포/무서움, 깨달음, 놀람, 신기함/관심
23	3	어떻게 올라갈 수 있을까요.		십자가	윤동주	불안/걱정, 의심/불신, 힘듦/지침, 패배/자기혐오, 안타까움/실망	기대감, 불안/걱정, 서러움	당황/난처, 부담/안_내킴, 안타까움/실망	불안/걱정, 안타까움/실망, 힘듦/지침	비장함, 의심/불신, 절망, 힘듦/지침
24	3	종소리도 들려 오지 않는데		십자가	윤동주	안타까움/실망, 없음	안타까움/실망, 없음	당황/난처, 불안/걱정, 안타까움/실망	서러움, 슬픔, 절망	당황/난처
25	3	휘파람이나 불며 서성거리다가		십자가	윤동주	기대감, 신기함/관심	불안/걱정, 슬픔, 힘듦/지침, 서러움	없음	불안/걱정	우쭐댐/무시함, 신기함/관심, 아껴주는, 의심/불신
26	3	괴로웠던 사나이		십자가	윤동주	불쌍함/연민, 절망, 안타까움/실망, 신기함/관심, 패배/자기혐오, 힘듦/지침	불쌍함/연민, 안타까움/실망, 힘듦/지침	부담/안_내킴, 불쌍함/연민, 서러움, 슬픔, 역겨움/징그러움, 패배/자기혐오	불쌍함/연민, 안타까움/실망, 힘듦/지침	불쌍함/연민, 불안/걱정
27	3	행복한 예수 그리스도에게		십자가	윤동주	존경, 기대감, 감동/감탄, 환영/호의, 기쁨	행복, 고마움, 기대감	깨달음, 비장함, 존경, 힘듦/지침	감동/감탄, 기대감, 비장함, 존경	고마움, 기대감
28	3	처럼		십자가	윤동주	없음	없음	없음	힘듦/지침, 비장함	없음
29	3	십자가가 허락된다면		십자가	윤동주	기대감, 없음, 환영/호의	기대감, 환영/호의, 불안/걱정, 기쁨, 비장함, 고마움, 행복, 슬픔	기대감, 깨달음	비장함, 기대감	비장함, 존경
30	3	모가지를 드리우고		십자가	윤동주	공포/무서움, 불안/걱정	없음	기대감, 당황/난처, 불안/걱정, 안타까움/실망, 힘듦/지침	비장함, 절망, 기대감	기대감, 놀람, 신기함/관심
31	3	꽃처럼 피어나는 피를		십자가	윤동주	비장함, 불쌍함/연민, 불안/걱정	공포/무서움, 불안/걱정, 슬픔, 경악	공포/무서움, 놀람, 당황/난처, 부담/안_내킴, 불안/걱정, 비장함	비장함, 존경, 편안/쾌적, 기대감	불안/걱정, 놀람, 경악, 당황/난처, 불쌍함/연민, 안타까움/실망
32	3	어두워 가는 하늘 밑에		십자가	윤동주	불안/걱정, 신기함/관심	불안/걱정	깨달음, 감동/감탄, 불안/걱정	공포/무서움, 불쌍함/연민, 비장함	공포/무서움, 당황/난처, 불안/걱정
33	3	조용히 흘리겠습니다.		십자가	윤동주	슬픔, 없음	비장함, 슬픔, 서러움, 없음	당황/난처, 슬픔, 서러움, 안타까움/실망	비장함	비장함, 서러움, 슬픔
34	4	바람이 어디로부터 불어 와		바람이 불어	윤동주	신기함/관심, 없음	없음	기대감, 아껴주는	감동/감탄, 불안/걱정, 신기함/관심	놀람, 기대감, 불안/걱정, 당황/난처
35	4	어디로 불려 가는 것일까		바람이 불어	윤동주	의심/불신	의심/불신, 불안/걱정, 기대감, 서러움, 신기함/관심	놀람, 당황/난처, 불안/걱정	불안/걱정, 당황/난처	공포/무서움, 당황/난처, 불안/걱정
36	4	바람이 부는데		바람이 불어	윤동주	신기함/관심, 없음	신기함/관심, 없음, 당황/난처, 불안/걱정, 비장함, 서러움	없음	불안/걱정, 부담/안_내킴, 재미없음	감동/감탄, 기쁨, 놀람, 편안/쾌적, 환영/호의
37	4	내 괴로움에는 이유가 없다.		바람이 불어	윤동주	슬픔, 서러움, 당황/난처, 부담/안_내킴	슬픔, 서러움, 당황/난처, 비장함, 불안/걱정, 깨달음, 안타까움/실망	힘듦/지침, 한심함, 패배/자기혐오, 안타까움/실망, 슬픔, 서러움	비장함, 패배/자기혐오, 힘듦/지침, 절망	힘듦/지침, 패배/자기혐오, 지긋지긋, 재미없음
38	4	내 괴로움에는 이유가 없을까		바람이 불어	윤동주	슬픔, 서러움, 불안/걱정, 불평/불만	슬픔, 서러움, 불안/걱정, 불평/불만, 당황/난처, 패배/자기혐오	깨달음, 놀람, 당황/난처, 안타까움/실망, 의심/불신	불안/걱정, 당황/난처, 의심/불신, 힘듦/지침, 비장함	서러움, 슬픔, 패배/자기혐오, 힘듦/지침
39	4	단 한 여자를 사랑한 일도 없다.		바람이 불어	윤동주	한심함, 불평/불만, 불쌍함/연민, 부담/안_내킴, 패배/자기혐오	한심함, 불쌍함/연민, 패배/자기혐오, 안타까움/실망, 서러움, 슬픔, 부끄러움, 불안/걱정	당황/난처, 부담/안_내킴, 불쌍함/연민, 불평/불만, 서러움, 안타까움/실망, 한심함	슬픔, 비장함, 안타까움/실망, 힘듦/지침	비장함
40	4	시대를 슬퍼한 일도 없다.		바람이 불어	윤동주	어이없음, 서러움, 안타까움/실망, 절망	서러움, 안타까움/실망, 절망, 죄책감, 한심함, 슬픔, 깨달음, 불평/불만, 패배/자기혐오	슬픔, 서러움, 비장함	깨달음, 비장함, 화남/분노	패배/자기혐오, 힘듦/지침, 절망, 재미없음
41	4	바람이 자꼬 부는데		바람이 불어	윤동주	지긋지긋, 귀찮음, 불안/걱정	지긋지긋, 귀찮음, 불안/걱정, 당황/난처, 서러움, 안타까움/실망	당황/난처, 부담/안_내킴, 짜증, 지긋지긋	기대감, 불안/걱정, 힘듦/지침	경악, 당황/난처
42	4	내 발이 반석 우에 섰다.		바람이 불어	윤동주	비장함, 깨달음	깨달음, 비장함	비장함, 뿌듯함	기대감, 깨달음, 비장함, 뿌듯함	비장함
43	4	강물이 자꼬 흐르는데		바람이 불어	윤동주	신기함/관심, 없음	기대감, 불안/걱정, 서러움	흐뭇함(귀여움/예쁨)	불안/걱정, 슬픔, 안타까움/실망	깨달음, 신기함/관심, 감동/감탄
44	4	내 발이 언덕 우에 섰다.		바람이 불어	윤동주	없음	없음, 비장함	없음	감동/감탄, 기쁨, 아껴주는, 행복	뿌듯함, 기쁨, 비장함, 행복, 즐거움/신남
45	5	고향에 돌아온 날 밤에		또 다른 고향	윤동주	즐거움/신남, 없음	없음	편안/쾌적, 행복, 기쁨	기대감, 기쁨, 편안/쾌적, 행복	행복, 기대감, 기쁨, 편안/쾌적, 환영/호의, 안심/신뢰
46	5	내 백골(白骨)이 따라와 한방에 누웠다.		또 다른 고향	윤동주	불안/걱정, 공포/무서움, 당황/난처, 부담/안_내킴, 지긋지긋	불안/걱정, 깨달음, 비장함, 슬픔	경악, 공포/무서움, 놀람, 당황/난처, 부담/안_내킴, 불안/걱정, 역겨움/징그러움	슬픔, 절망, 힘듦/지침	공포/무서움, 경악, 놀람, 당황/난처, 불안/걱정, 증오/혐오
47	5	어둔 방은 우주로 통하고		또 다른 고향	윤동주	없음	기대감, 불안/걱정, 감동/감탄, 놀람	감동/감탄, 공포/무서움, 불안/걱정, 신기함/관심	편안/쾌적, 깨달음, 기대감	공포/무서움, 깨달음, 감동/감탄, 기대감, 신기함/관심
48	5	하늘에선가 소리처럼 바람이 불어 온다.		또 다른 고향	윤동주	신기함/관심, 편안/쾌적, 환영/호의	신기함/관심, 편안/쾌적, 환영/호의	깨달음, 놀람, 불안/걱정	기대감, 편안/쾌적, 행복	공포/무서움, 불안/걱정, 놀람
49	5	어둠 속에 곱게 풍화작용(風化作用)하는		또 다른 고향	윤동주	깨달음, 신기함/관심, 기대감	불안/걱정, 비장함, 서러움, 슬픔	부담/안_내킴, 비장함, 패배/자기혐오	불안/걱정, 불평/불만, 의심/불신, 힘듦/지침, 안타까움/실망	깨달음, 감동/감탄
50	5	백골을 들여다보며		또 다른 고향	윤동주	신기함/관심, 불안/걱정, 패배/자기혐오, 공포/무서움	불안/걱정, 공포/무서움, 불쌍함/연민, 서러움, 슬픔, 신기함/관심	공포/무서움, 당황/난처, 부담/안_내킴	경악, 불쌍함/연민, 슬픔, 절망	불쌍함/연민, 서러움, 슬픔, 신기함/관심
51	5	눈물짓는 것이 내가 우는 것이냐		또 다른 고향	윤동주	슬픔, 서러움	슬픔, 서러움, 당황/난처, 경악, 놀람, 패배/자기혐오, 의심/불신	놀람, 슬픔, 서러움	슬픔, 서러움, 힘듦/지침	슬픔, 서러움, 어이없음, 절망, 짜증
52	5	백골이 우는 것이냐		또 다른 고향	윤동주	슬픔, 서러움, 안타까움/실망	신기함/관심, 깨달음, 불쌍함/연민, 서러움, 슬픔, 아껴주는	서러움, 슬픔, 절망	경악, 놀람, 당황/난처, 슬픔, 안타까움/실망, 절망	놀람, 서러움, 슬픔, 불쌍함/연민
53	5	아름다운 혼이 우는 것이냐		또 다른 고향	윤동주	의심/불신, 슬픔, 흐뭇함(귀여움/예쁨), 불안/걱정, 불쌍함/연민	불쌍함/연민, 불안/걱정, 서러움, 슬픔, 안타까움/실망, 놀람	놀람, 기대감, 뿌듯함, 비장함	슬픔, 힘듦/지침, 불쌍함/연민	서러움, 슬픔, 불안/걱정, 불쌍함/연민
54	5	지조 높은 개는		또 다른 고향	윤동주	우쭐댐/무시함, 없음	감동/감탄, 기대감, 신기함/관심, 아껴주는, 존경, 환영/호의	비장함, 존경, 힘듦/지침	감동/감탄, 존경, 흐뭇함(귀여움/예쁨), 아껴주는	신기함/관심
55	5	밤을 새워 어둠을 짖는다.		또 다른 고향	윤동주	불안/걱정, 공포/무서움	불안/걱정, 비장함, 존경, 서러움	감동/감탄, 깨달음, 불쌍함/연민, 비장함, 안타까움/실망, 화남/분노	불평/불만, 슬픔, 힘듦/지침	비장함, 공포/무서움, 놀람, 당황/난처, 불안/걱정
56	5	어둠을 짖는 개는		또 다른 고향	윤동주	공포/무서움, 불안/걱정	공포/무서움, 불안/걱정, 고마움, 존경, 감동/감탄, 서러움, 슬픔, 아껴주는, 불쌍함/연민	놀람, 경악, 당황/난처, 부끄러움, 패배/자기혐오, 한심함	불안/걱정, 의심/불신, 공포/무서움	경악, 공포/무서움, 놀람, 당황/난처
57	5	나를 쫓는 것일 게다.		또 다른 고향	윤동주	의심/불신, 패배/자기혐오	불안/걱정, 공포/무서움, 깨달음	당황/난처, 불안/걱정, 의심/불신	깨달음, 놀람	당황/난처, 부담/안_내킴, 의심/불신, 재미없음
58	5	가자 가자		또 다른 고향	윤동주	비장함, 즐거움/신남	기대감, 불안/걱정, 비장함, 힘듦/지침	기대감, 기쁨	기대감, 비장함	기대감, 비장함
59	5	쫓기우는 사람처럼 가자		또 다른 고향	윤동주	비장함	비장함	기대감, 기쁨, 부담/안_내킴, 슬픔	불안/걱정, 힘듦/지침, 비장함	깨달음, 비장함
60	5	백골 몰래		또 다른 고향	윤동주	불안/걱정, 의심/불신, 공포/무서움	공포/무서움, 불안/걱정	역겨움/징그러움, 의심/불신	비장함, 슬픔, 절망	비장함
61	5	아름다운 또 다른 고향에 가자.		또 다른 고향	윤동주	기대감, 기쁨, 환영/호의, 행복, 아껴주는	기대감, 기쁨, 아껴주는, 즐거움/신남	기대감, 기쁨, 신기함/관심, 즐거움/신남	기대감, 환영/호의, 행복, 즐거움/신남, 기쁨	기대감, 비장함
62	6	계절이 지나가는 하늘에는		별 헤는 밤	윤동주	신기함/관심, 흐뭇함(귀여움/예쁨)	신기함/관심	기대감, 흐뭇함(귀여움/예쁨)	감동/감탄, 신기함/관심, 아껴주는, 행복	감동/감탄, 기대감, 존경
63	6	가을로 가득 차 있습니다.		별 헤는 밤	윤동주	감동/감탄, 환영/호의, 흐뭇함(귀여움/예쁨)	감동/감탄, 환영/호의, 흐뭇함(귀여움/예쁨), 기쁨, 기대감, 서러움, 비장함, 놀람	신기함/관심, 감동/감탄	기대감, 기쁨, 환영/호의	감동/감탄, 고마움, 기대감, 기쁨, 편안/쾌적, 행복
64	6	나는 아무 걱정도 없이		별 헤는 밤	윤동주	편안/쾌적, 우쭐댐/무시함, 안심/신뢰	편안/쾌적	안심/신뢰, 편안/쾌적	감동/감탄, 기쁨, 안심/신뢰, 편안/쾌적, 행복	편안/쾌적
65	6	가을 속의 별들을 다 헤일 듯합니다...		별 헤는 밤	윤동주	기대감, 신기함/관심	기대감, 신기함/관심, 감동/감탄, 놀람, 비장함, 서러움, 슬픔, 아껴주는, 흐뭇함(귀여움/예쁨)	감동/감탄, 기쁨, 흐뭇함(귀여움/예쁨)	슬픔	깨달음, 뿌듯함, 신기함/관심, 아껴주는, 기쁨, 행복
66	6	가슴 속에 하나 둘 새겨지는 별을		별 헤는 밤	윤동주	흐뭇함(귀여움/예쁨), 감동/감탄, 기대감, 깨달음, 기쁨, 행복	감동/감탄, 기대감, 깨달음, 기쁨, 행복, 뿌듯함, 비장함, 아껴주는, 안심/신뢰	기쁨, 깨달음, 아껴주는, 흐뭇함(귀여움/예쁨)	기쁨, 감동/감탄, 아껴주는, 환영/호의, 행복	기쁨, 기대감
67	6	이제 다 못 헤는 것은		별 헤는 밤	윤동주	안타까움/실망, 기대감, 당황/난처, 깨달음	안타까움/실망, 당황/난처, 불안/걱정, 서러움, 슬픔	부담/안_내킴, 비장함	감동/감탄, 슬픔, 힘듦/지침, 안타까움/실망	힘듦/지침, 패배/자기혐오, 절망
68	6	쉬이 아침이 오는 까닭이요,		별 헤는 밤	윤동주	깨달음	서러움, 슬픔, 불안/걱정, 안타까움/실망	기대감	감동/감탄, 기대감, 기쁨, 한심함	깨달음
69	6	내일 밤이 남은 까닭이요,		별 헤는 밤	윤동주	기대감, 환영/호의	기대감, 환영/호의, 기쁨, 비장함, 안심/신뢰	기대감	감동/감탄, 기대감, 행복, 편안/쾌적	깨달음, 불안/걱정
70	6	아직 나의 청춘이 다하지 않은 까닭입니다.		별 헤는 밤	윤동주	깨달음, 고마움, 기대감, 아껴주는, 환영/호의, 흐뭇함(귀여움/예쁨)	비장함, 기쁨, 슬픔	기대감, 비장함	감동/감탄, 기대감, 깨달음, 비장함, 기쁨	비장함
71	6	별 하나에 추억과		별 헤는 밤	윤동주	기쁨, 기대감, 신기함/관심, 흐뭇함(귀여움/예쁨)	기쁨, 깨달음, 부끄러움, 슬픔, 행복	기쁨, 기대감, 행복	감동/감탄, 기쁨, 아껴주는, 편안/쾌적, 행복	기대감, 기쁨, 흐뭇함(귀여움/예쁨)
72	6	별 하나에 사랑과		별 헤는 밤	윤동주	아껴주는, 감동/감탄, 기쁨, 신기함/관심, 흐뭇함(귀여움/예쁨)	아껴주는, 감동/감탄, 기쁨, 신기함/관심, 흐뭇함(귀여움/예쁨), 깨달음, 서러움, 환영/호의	기대감, 기쁨	감동/감탄, 기대감, 기쁨, 아껴주는, 깨달음, 행복	아껴주는, 감동/감탄, 비장함, 뿌듯함, 기쁨, 행복
73	6	별 하나에 쓸쓸함과		별 헤는 밤	윤동주	슬픔, 서러움	서러움, 슬픔, 비장함, 안타까움/실망	기대감, 불쌍함/연민, 서러움, 슬픔, 안타까움/실망, 흐뭇함(귀여움/예쁨)	편안/쾌적, 슬픔, 힘듦/지침, 재미없음	서러움, 슬픔, 깨달음, 불쌍함/연민
74	6	별 하나에 동경과		별 헤는 밤	윤동주	존경, 흐뭇함(귀여움/예쁨), 감동/감탄, 환영/호의	감동/감탄, 존경, 환영/호의	기대감, 기쁨, 뿌듯함, 아껴주는	감동/감탄, 기쁨, 기대감, 뿌듯함, 존경, 행복	감동/감탄, 고마움, 신기함/관심
75	6	별 하나에 시와		별 헤는 밤	윤동주	흐뭇함(귀여움/예쁨), 아껴주는, 감동/감탄, 고마움	흐뭇함(귀여움/예쁨), 아껴주는, 감동/감탄, 고마움, 기대감, 뿌듯함, 놀람, 비장함, 서러움, 슬픔	없음	감동/감탄, 기대감, 아껴주는, 행복	비장함, 감동/감탄, 기대감
76	6	별 하나에 어머니, 어머니		별 헤는 밤	윤동주	아껴주는, 기대감, 불쌍함/연민	아껴주는, 감동/감탄, 고마움, 깨달음, 서러움, 슬픔, 환영/호의	고마움, 기대감, 불쌍함/연민, 서러움, 안타까움/실망	기쁨, 아껴주는, 안심/신뢰, 행복	고마움, 서러움, 슬픔, 존경
77	6	어머님, 나는 별 하나에 아름다운 말 한 마디씩 불러 봅니다. 소학교 때 책상을 같이했던 아이들의 이름과, 패, 경, 옥 이런 이국 소녀들의 이름과, 벌써 아기 어머니 된 계집애들의 이름과, 가난한 이웃 사람들의 이름과, 비둘기, 강아지, 토끼, 노새, 노루, '프랑시스 잠', '라이너 마리아 릴케', 이런 시인의 이름을 불러 봅니다.		별 헤는 밤	윤동주	아껴주는, 기대감, 불쌍함/연민, 흐뭇함(귀여움/예쁨), 존경, 깨달음, 기쁨, 환영/호의	기쁨, 고마움, 서러움, 슬픔, 아껴주는, 환영/호의, 흐뭇함(귀여움/예쁨)	불쌍함/연민, 슬픔, 뿌듯함, 안타까움/실망, 기쁨, 기대감, 깨달음	아껴주는, 감동/감탄, 행복, 편안/쾌적	신기함/관심, 안심/신뢰, 비장함
78	6	이네들은 너무나 멀리 있습니다.		별 헤는 밤	윤동주	서러움, 슬픔, 안타까움/실망	서러움, 슬픔, 안타까움/실망, 당황/난처, 불평/불만, 아껴주는	불안/걱정, 서러움, 안타까움/실망	슬픔, 불안/걱정, 안타까움/실망, 힘듦/지침	서러움, 슬픔, 불안/걱정
79	6	별이 아스라이 멀 듯이,		별 헤는 밤	윤동주	기대감, 흐뭇함(귀여움/예쁨), 불안/걱정	깨달음, 서러움, 슬픔, 안타까움/실망	없음	감동/감탄, 편안/쾌적, 행복	감동/감탄, 놀람, 존경, 기대감
80	6	어머님,		별 헤는 밤	윤동주	없음	없음, 아껴주는, 서러움, 슬픔	고마움, 기대감, 기쁨, 안심/신뢰	슬픔, 아껴주는, 안심/신뢰, 존경, 비장함	고마움, 존경
81	6	그리고 당신은 멀리 북간도에 계십니다		별 헤는 밤	윤동주	안타까움/실망, 불안/걱정, 아껴주는	안타까움/실망, 아껴주는, 슬픔, 서러움, 존경	부담/안_내킴, 불안/걱정, 불평/불만, 서러움, 슬픔, 안타까움/실망	서러움, 슬픔, 아껴주는, 힘듦/지침	불쌍함/연민, 서러움, 슬픔, 안타까움/실망
82	6	나는 무엇인지 그리워		별 헤는 밤	윤동주	슬픔, 불안/걱정	슬픔, 불안/걱정, 서러움	불쌍함/연민, 불안/걱정, 서러움, 안타까움/실망	불쌍함/연민, 슬픔, 아껴주는, 불안/걱정	불안/걱정, 서러움, 아껴주는, 안타까움/실망
83	6	이 많은 별빛이 내린 언덕 위에		별 헤는 밤	윤동주	흐뭇함(귀여움/예쁨), 감동/감탄, 기대감, 환영/호의	흐뭇함(귀여움/예쁨), 감동/감탄, 기대감, 환영/호의, 놀람, 비장함, 아껴주는	기대감, 깨달음, 흐뭇함(귀여움/예쁨)	감동/감탄, 기대감, 기쁨, 신기함/관심, 행복	감동/감탄, 기대감, 신기함/관심
84	6	내 이름자를 써 보고,		별 헤는 밤	윤동주	신기함/관심, 기대감, 없음, 안심/신뢰	기대감, 불안/걱정	없음	기쁨, 아껴주는, 행복, 흐뭇함(귀여움/예쁨)	깨달음
85	6	흙으로 덮어 버리었습니다.		별 헤는 밤	윤동주	안타까움/실망, 불평/불만, 짜증, 없음	부담/안_내킴, 안타까움/실망, 지긋지긋	부담/안_내킴, 짜증	슬픔, 절망, 힘듦/지침	의심/불신, 지긋지긋, 패배/자기혐오, 힘듦/지침, 증오/혐오
86	6	딴은, 밤을 새워 우는 벌레는		별 헤는 밤	윤동주	슬픔, 서러움, 신기함/관심	슬픔, 서러움, 신기함/관심, 불안/걱정, 불쌍함/연민	슬픔, 불쌍함/연민, 불안/걱정	슬픔, 부끄러움, 힘듦/지침, 재미없음	신기함/관심
87	6	부끄러운 이름을 슬퍼하는 까닭입니다.		별 헤는 밤	윤동주	부끄러움, 슬픔, 안타까움/실망	부끄러움, 서러움, 슬픔, 깨달음	당황/난처, 부끄러움, 서러움, 슬픔, 안타까움/실망	부끄러움, 슬픔, 죄책감	서러움, 슬픔
88	6	그러나 겨울이 지나고 나의 별에도 봄이 오면		별 헤는 밤	윤동주	기대감	기대감, 비장함, 환영/호의	기대감, 기쁨, 뿌듯함, 즐거움/신남	감동/감탄, 기대감, 신기함/관심, 아껴주는, 환영/호의, 행복	기대감, 기쁨, 환영/호의, 편안/쾌적, 행복
89	6	무덤 위에 파란 잔디가 피어나듯이		별 헤는 밤	윤동주	환영/호의, 깨달음, 신기함/관심	서러움, 슬픔, 아껴주는	공포/무서움, 깨달음, 뿌듯함, 안심/신뢰, 환영/호의	기대감, 기쁨, 환영/호의, 슬픔, 행복	감동/감탄, 고마움, 기대감, 깨달음, 놀람
90	6	내 이름자 묻힌 언덕 위에도		별 헤는 밤	윤동주	신기함/관심, 없음, 의심/불신	기대감, 불안/걱정, 서러움, 비장함, 슬픔	깨달음, 부담/안_내킴, 불쌍함/연민, 불안/걱정, 서러움, 슬픔	슬픔, 힘듦/지침, 재미없음, 절망	슬픔, 비장함
